user_id,username,first_name,last_name,email_id,country,industry,job_title,connections_count,followers_count,skills,creation_date,premium_user,username,first_name,last_name,,country
U0001,aditya.sharma,Aditya,Sharma,aditya.sharma@gmail.com,India,Finance,civil engineer,4529,4546,"['Machine Learning', 'Project Management', 'Marketing Strategy', 'Leadership']",07-12-2021 03:26,FALSE,aditya.sharma,Aditya,Sharma,,India
U0002,sophia.jones,Sophia,Jones,sophia.jones@yahoo.com,USA,Finance,Ecologist,2319,4472,"['Marketing Strategy', 'Leadership']",19-12-2022 23:57,FALSE,sophia.jones,Sophia,Jones,,USA
U0003,kenji.tanaka,Kenji,Tanaka,kenji.tanaka@outlook.jp,Japan,Healthcare,Higher education lecturer,1963,5541,"['Data Analysis', 'Leadership', 'Python', 'SQL']",07-09-2020 00:07,FALSE,kenji.tanaka,Kenji,Tanaka,,Japan
U0004,divya.singh,Divya,Singh,divya.singh@rediffmail.com,India,Marketing,Therapist,1972,2966,"['Project Management', 'Machine Learning']",30-07-2022 10:55,TRUE,divya.singh,Divya,Singh,,India
U0005,liam.smith,Liam,Smith,liam.smith@hotmail.ca,Canada,Healthcare,Dentist,2757,9835,"['Cloud Computing', 'Python', 'Leadership', 'Machine Learning']",23-07-2022 08:41,FALSE,liam.smith,Liam,Smith,,Canada
U0006,mei.lin,Mei,Lin,mei.lin@163.com,China,Healthcare,Research officer,3699,2852,"['Machine Learning', 'Marketing Strategy', 'Data Analysis']",06-02-2024 06:18,FALSE,mei.lin,Mei,Lin,,China
U0007,rohit.kumar,Rohit,Kumar,rohit.kumar@gmail.com,India,Finance,Surveyor,279,7451,"['Marketing Strategy', 'Project Management']",17-10-2023 19:04,FALSE,rohit.kumar,Rohit,Kumar,,India
U0008,chloe.davis,Chloe,Davis,chloe.davis@outlook.co.uk,UK,Healthcare,Economist,3165,1633,"['Project Management', 'SQL', 'Cloud Computing', 'Python', 'Data Analysis']",05-05-2021 10:12,FALSE,chloe.davis,Chloe,Davis,,UK
U0009,aksel.nielsen,Aksel,Nielsen,aksel.nielsen@gmail.com,Denmark,Marketing,Cabin crew,1205,3848,"['Project Management', 'Leadership']",06-07-2023 17:22,FALSE,aksel.nielsen,Aksel,Nielsen,,Denmark
U0010,arjun.patel,Arjun,Patel,arjun.patel@yahoo.in,India,Finance,Community development worker,2349,6289,"['Marketing Strategy', 'Data Analysis', 'Machine Learning']",24-01-2022 13:10,FALSE,arjun.patel,Arjun,Patel,,India
U0011,olivia.brown,Olivia,Brown,olivia.brown@bigpond.com,Australia,Education,Health and safety inspector,1168,169,"['Python', 'Marketing Strategy', 'Machine Learning', 'Cloud Computing']",26-12-2020 20:51,TRUE,olivia.brown,Olivia,Brown,,Australia
U0012,juan.garcia,Juan,Garcia,juan.garcia@gmail.com,Spain,Healthcare,Pharmacist,787,684,"['Cloud Computing', 'SQL', 'Python', 'Marketing Strategy', 'Data Analysis', 'Leadership']",14-03-2023 23:59,FALSE,juan.garcia,Juan,Garcia,,Spain
U0013,pooja.yadav,Pooja,Yadav,pooja.yadav@hotmail.com,India,Software Development,Estate agent,1254,3737,"['Python', 'Machine Learning', 'Marketing Strategy', 'Cloud Computing']",26-05-2023 01:28,TRUE,pooja.yadav,Pooja,Yadav,,India
U0014,maxim.ivanov,Maxim,Ivanov,maxim.ivanov@mail.ru,Russia,Education,Geographical information systems officer,4820,8280,"['Machine Learning', 'Python', 'SQL', 'Project Management', 'Leadership']",15-07-2021 21:14,FALSE,maxim.ivanov,Maxim,Ivanov,,Russia
U0015,fatima.al-hamad,Fatima,Al-Hamad,fatima.al-hamad@yahoo.ae,UAE,Software Development,Geophysical data processor,4659,4043,"['Project Management', 'Cloud Computing', 'SQL', 'Marketing Strategy', 'Leadership']",28-04-2023 12:22,TRUE,fatima.al-hamad,Fatima,Al-Hamad,,UAE
U0016,kunal.mehta,Kunal,Mehta,kunal.mehta@gmail.com,India,Education,Systems analyst,3280,4594,"['SQL', 'Cloud Computing', 'Project Management', 'Marketing Strategy']",27-02-2022 08:06,FALSE,kunal.mehta,Kunal,Mehta,,India
U0017,emma.white,Emma,White,emma.white@aol.com,USA,Healthcare,Recycling officer,1539,9281,"['Leadership', 'Marketing Strategy', 'SQL', 'Data Analysis', 'Python']",14-11-2024 12:53,FALSE,emma.white,Emma,White,,USA
